Iteraciones,Tamano10,Tamano20,Tamano30,Tamano40,Tamano50,Tamano60,Tamano70,Tamano80,Tamano90,Tamano100,Tamano110,Tamano120,Tamano130,Tamano140,Tamano150,Tamano160,Tamano170,Tamano180,Tamano190,Tamano200,Tamano210,Tamano220,Tamano230,Tamano240,Tamano250,Tamano260,Tamano270,Tamano280,Tamano290,Tamano300,Tamano310,Tamano320,Tamano330,Tamano340,Tamano350,Tamano360,Tamano370,Tamano380,Tamano390,Tamano400,Tamano410,Tamano420,Tamano430,Tamano440,Tamano450,Tamano460,Tamano470,Tamano480,Tamano490,Tamano500,Tamano510,Tamano520,Tamano530,Tamano540,Tamano550,Tamano560,Tamano570,Tamano580,Tamano590,Tamano600,Tamano610,Tamano620,Tamano630,Tamano640,Tamano650,Tamano660,Tamano670,Tamano680,Tamano690,Tamano700,Tamano710,Tamano720,Tamano730,Tamano740,Tamano750,Tamano760,Tamano770,Tamano780,Tamano790,Tamano800,Tamano810,Tamano820,Tamano830,Tamano840,Tamano850,Tamano860,Tamano870,Tamano880,Tamano890,Tamano900,Tamano910,Tamano920,Tamano930,Tamano940,Tamano950,Tamano960,Tamano970,Tamano980,Tamano990,Tamano1000
318,1100,2600,3500,5400,6700,17800,19900,20000,17600,18800,15400,15200,66200,24700,26900,29200,30500,33300,32100,32900,35100,32100,33000,37300,46200,42700,56800,41900,49500,54900,52800,76800,62600,62400,70700,60100,60400,68500,84200,102400,134500,136400,94500,149700,150200,165000,153400,155800,181800,216000,171100,173900,178600,194300,197100,195600,191600,208200,161100,165200,141800,159700,140400,148900,204500,301600,243700,335900,350200,353600,367900,367700,371200,378600,388000,393100,446100,158200,208700,209400,476500,513300,520200,515900,441800,368800,319100,334600,394000,328300,353000,233700,497300,279100,263100,248300,265000,254000,253600,257100
319,1000,2500,3700,9000,6900,8700,11600,12600,13800,15800,17800,20200,24800,23400,24500,26500,29900,74300,33000,60700,32600,39500,37200,33300,45600,46200,64300,55900,52800,57300,56600,56500,62400,63800,69100,67400,70100,75400,81300,206800,195300,203000,185100,197000,105400,92700,102200,58600,167300,174800,151400,115900,164300,175100,132800,121100,130000,121100,140600,139900,149200,138100,148700,113300,316800,136100,135400,166600,159300,168100,166700,169700,171900,188600,208900,182900,176100,161200,210700,136800,306300,392400,359900,412800,426300,408600,438200,433900,428300,449800,454600,344700,239600,233400,219500,331200,541100,243700,289700,337900
320,1900,4400,5800,9600,12400,14700,16600,19200,22100,25600,29800,32900,15100,16600,31400,29200,19500,55100,32100,37100,36100,34600,46200,83200,76600,82100,124800,93100,111700,97200,95500,101800,108600,105100,82100,66000,81700,87600,81400,80300,91500,107400,86800,81000,93600,96600,102900,109200,105200,105400,107900,109900,137700,127700,122000,132500,127500,130400,132000,140800,213000,224200,216500,222800,225600,231600,140900,156400,191800,270900,254300,276800,263100,282800,279600,276800,298600,287300,227600,249200,300500,501400,199400,198600,177100,216500,154800,145200,176200,157600,204200,255000,215400,247200,241100,239400,251000,276200,242700,242500
321,1500,4200,7200,8800,11700,15100,7800,14200,15100,20800,24100,18700,20600,23700,23000,26200,28800,27600,31400,27600,31400,37500,39700,40600,81800,37800,144600,54600,64400,59900,59300,66200,77200,82200,80200,66800,65600,89100,73800,102400,80900,76000,73300,91500,91900,91200,110300,88400,100700,97300,132100,119700,121200,113700,126100,122700,143200,130600,131300,134400,137600,137400,126700,146800,148300,158000,201300,164800,192200,175200,186300,182800,195500,171900,174200,168400,179200,208100,214900,217200,219900,202700,222100,214000,217400,208500,214100,242700,224700,230300,343600,354800,352000,360700,346100,375000,503000,419100,385100,394300
322,1900,3700,5900,8500,6400,7400,10800,17300,32700,15900,15000,25800,18700,22200,24700,30300,30000,31000,33500,37800,36800,43200,42900,49800,53800,50700,48100,58100,50500,54900,64600,99600,77300,119000,83200,74100,81100,73700,87800,80000,100000,93900,94400,138000,125100,91100,125400,133900,135300,138100,200000,133300,117800,120300,130400,191100,299700,118700,203400,121600,126000,152500,150500,152400,229100,249300,239900,251100,247100,261200,255900,331200,384300,411200,390400,159300,173800,192300,190700,190900,208800,205800,234500,204900,225000,210900,189800,214800,220000,229400,197500,239800,224300,264200,234500,251200,212500,320200,296900,246300
323,1200,2400,3400,5300,6800,13900,14100,17100,14100,24500,20200,21600,22000,27700,29600,28300,30900,36100,35600,35500,53700,44700,46600,52300,51500,60600,90600,72400,52000,66000,75400,75200,67500,69900,71400,75000,69100,77100,76700,78100,96000,90500,71500,88700,94200,95500,99600,91700,125400,94200,114400,103200,104700,102500,124500,122200,132000,136500,85400,127700,134400,149600,137100,152100,138600,136800,137600,148600,162100,188100,152600,166500,170700,157800,157300,210400,261800,207500,206800,220100,226700,148900,219600,236100,247600,220600,202000,200300,227100,253000,252600,232800,251400,235600,203700,224200,256500,251200,235500,279700
324,1200,2100,5400,5200,6300,12100,11500,12500,15600,15000,15700,18200,34900,16400,36100,35000,20500,35900,72600,45300,45600,40500,31300,43200,46500,45400,49700,52200,38500,51200,73900,57000,64000,63100,57000,61600,44000,135800,95000,72000,97200,87500,83400,87200,96400,84900,89000,105700,192900,223300,174800,212000,220800,210900,271200,190500,115300,181900,221900,140300,370100,148200,148700,139600,120700,251500,139300,280900,255700,261400,252900,251800,263200,291300,273700,294000,308100,290300,368100,406300,423400,428200,561400,457600,419800,190500,184500,203100,202300,231400,219200,203100,228700,231800,200000,346800,272200,249800,248800,220400
325,1100,2000,3800,6500,8100,21500,15300,12000,18200,26000,30400,32200,35100,37500,46300,24900,26100,24200,22800,28300,25200,27800,66800,76900,43300,49400,63900,47200,58300,91000,97600,85900,70600,61600,71100,113000,126700,131000,125200,131400,146000,133200,153400,167900,147200,111100,112100,114800,105200,108800,114900,106700,204600,194000,232500,192900,164200,92600,172100,238200,182100,247300,141000,170800,241800,244600,252000,165600,165100,144600,156300,218900,276100,188900,171600,257200,181100,270900,212000,159700,304900,154900,222700,223900,185200,196600,170500,122800,217700,219500,203300,157200,270500,231800,272200,372600,283400,265800,287500,248900
326,1900,3400,5800,6600,4700,6700,17300,8600,17700,10500,18900,18100,19400,23400,22600,29000,31300,33700,38900,53200,39400,44300,44900,45400,50100,53900,54500,58500,53600,57100,56800,65400,63400,106100,102200,101300,114600,139200,128300,135500,137700,162300,165700,177000,154200,151300,169800,158700,164200,88500,116800,133100,118600,103900,111500,105500,125100,202900,220900,122900,195800,169100,222900,220000,278100,226900,245400,232500,320200,164800,255400,377100,193900,162400,171900,195900,195400,183300,289200,296400,319700,308300,312700,311300,309200,314400,309900,197000,199800,369000,193800,201100,356300,369100,278100,376500,463300,388900,393200,379400
327,1500,3600,5800,9000,11000,14100,14200,12400,15500,15200,16600,33800,53700,52800,44400,23000,72000,59700,55400,60800,61900,72100,68000,72800,95300,91600,89300,55400,48300,52200,104100,104300,64600,114500,80600,121800,81600,69400,123000,90700,76600,77700,90300,78400,85300,90400,86900,206100,94700,97400,112600,99700,190300,195300,262800,146000,155200,133300,137200,120600,125600,119200,163300,126900,136000,133100,149600,201200,184600,169500,193700,158800,189400,278000,191500,167300,199600,212800,191500,198900,187500,176500,187600,247800,349300,329400,339600,339700,343300,365400,363800,352500,373400,251600,209500,334700,233700,399800,407900,395700
328,1700,4100,6400,9000,7700,9400,6500,12100,13500,15300,16900,19400,22700,19600,30200,24300,30500,31300,39900,32500,47900,48500,37100,35500,54100,47000,47100,49700,50500,59500,55400,64700,56400,69000,67700,66900,84000,70200,68500,98600,99100,87300,83800,89000,109600,125100,193900,99800,98200,133300,195000,75900,130700,111600,112500,129500,130000,123200,138100,147300,126000,142600,141500,135900,145400,138900,151600,273400,194700,263900,232400,313600,180100,187000,191200,196400,188000,174100,179100,184200,178000,207700,202900,215500,229500,214700,228200,240600,205700,237700,387500,208800,298600,245000,257900,252000,385000,277800,247600,258300
329,1300,1700,3900,5000,6900,10000,8600,9600,16200,18400,23500,20300,49600,38100,32500,26700,25400,27500,47200,44600,36900,66900,86800,73900,80700,86200,92200,91700,96500,98800,98600,108400,115000,112900,127000,121900,126100,143000,83800,137200,143100,148300,164300,145800,147900,171000,83100,103200,113900,71100,105500,105100,109700,112300,105400,129200,121500,140700,153100,143800,145100,148900,150700,155600,137800,250500,181000,177600,248200,252800,256200,256300,231300,166400,158400,182100,190600,160700,215100,193600,188900,172000,202100,201800,206400,220700,192400,228300,208700,232300,211300,255000,251700,241100,400300,243200,398100,358300,281500,247600
330,1100,3800,5700,7600,6500,13800,12900,9100,15700,12100,18900,20600,22400,22200,25200,17500,32700,32200,31600,36900,60800,40000,80400,48500,54800,73300,72300,46800,57300,107800,87700,54500,109300,65600,70700,76700,80100,82500,95000,78300,96400,86200,90100,89400,93000,95100,99800,100400,102700,105100,108100,113100,113700,126500,120800,126100,467700,143800,96900,148900,151700,137500,145200,147000,156200,163600,147900,141000,150600,151900,166200,171800,190600,170700,174100,168800,188500,200700,208500,191300,192400,202500,186500,197100,191100,353700,247500,235300,200000,196800,220000,192300,227500,235500,206100,235200,212700,239000,306400,257300
331,1800,2600,4700,8800,5800,8300,9100,12300,15200,16700,20400,27500,32000,37000,32300,26200,32000,34500,44400,60600,37600,43200,40700,59000,69500,52400,59600,56300,77700,64300,63600,71000,57000,72200,72200,85600,104500,156300,138500,87600,68100,123300,154400,143400,152000,172600,149700,203000,175900,91200,134100,197600,243400,180800,132000,117600,126800,127100,143000,145700,159300,253600,226400,220900,126000,141900,167300,205100,157300,176100,175100,168200,186700,291800,285300,304500,285400,311400,202800,225600,384300,201000,484300,387000,201200,149900,179900,202700,239400,207900,358200,340900,345500,392400,362500,385300,353600,320300,366400,175400
332,1800,2100,3600,4900,11700,8800,11100,20500,18100,37100,37800,37100,33800,36500,46100,51300,55400,67200,52900,58700,61800,64300,69300,91800,59300,55800,68500,55500,61900,70500,62900,73000,62500,66800,67600,86700,93500,113900,68300,105300,83500,87200,94800,90500,109600,91300,91200,92300,111900,108800,114600,127000,108100,108900,118500,138000,177300,614600,136800,117000,126800,124500,131200,214000,124800,165800,160800,153200,152800,162500,161700,156500,147500,189600,164600,169500,172900,255600,240500,209000,259600,185000,149100,184300,182900,157600,277700,268300,197500,338000,298700,287900,301200,294000,297700,312600,305000,223400,325600,213000
333,1000,2100,3500,5000,6100,8800,9300,25500,12900,23300,16600,34100,28600,27700,22600,26000,35200,33600,33200,35500,37100,39800,30600,39200,50000,52700,47600,63200,48500,68400,84400,57600,43800,129700,107300,69300,78400,95800,101700,110300,58200,80300,58500,91300,57600,63200,63600,66300,67900,75500,75400,71100,72800,105500,114000,208600,208000,130700,129100,136500,141700,152400,142900,136500,140300,104300,143800,164400,99200,212900,159200,170600,199700,200700,175500,177400,187500,294800,178000,136700,124500,116200,130700,207800,183700,208400,124300,136400,339300,187400,229900,201600,188200,261200,191800,159000,236300,178200,161400,239800
334,5900,4300,6500,9700,21800,13800,26700,30500,22700,36200,37000,32300,39100,25400,25000,34000,30300,28200,26700,69500,73200,74000,90100,77900,73000,51800,87400,87900,99100,103600,100600,103300,100800,109700,120900,139300,126600,122800,109700,108800,85400,181200,144600,155200,156400,166800,168300,158100,176700,195700,179800,120000,202300,198500,190200,205600,200400,211400,147700,140500,204300,234400,234100,256800,245500,268900,249700,254800,265500,267900,272000,274700,287800,276500,274600,292300,305900,274000,219000,213800,151700,316300,330700,310700,814600,198500,244300,223700,213500,277000,248400,230700,231200,235000,242100,243400,234800,227200,278700,270300
