Iteraciones,Tamano10,Tamano20,Tamano30,Tamano40,Tamano50,Tamano60,Tamano70,Tamano80,Tamano90,Tamano100,Tamano110,Tamano120,Tamano130,Tamano140,Tamano150,Tamano160,Tamano170,Tamano180,Tamano190,Tamano200,Tamano210,Tamano220,Tamano230,Tamano240,Tamano250,Tamano260,Tamano270,Tamano280,Tamano290,Tamano300,Tamano310,Tamano320,Tamano330,Tamano340,Tamano350,Tamano360,Tamano370,Tamano380,Tamano390,Tamano400,Tamano410,Tamano420,Tamano430,Tamano440,Tamano450,Tamano460,Tamano470,Tamano480,Tamano490,Tamano500,Tamano510,Tamano520,Tamano530,Tamano540,Tamano550,Tamano560,Tamano570,Tamano580,Tamano590,Tamano600,Tamano610,Tamano620,Tamano630,Tamano640,Tamano650,Tamano660,Tamano670,Tamano680,Tamano690,Tamano700,Tamano710,Tamano720,Tamano730,Tamano740,Tamano750,Tamano760,Tamano770,Tamano780,Tamano790,Tamano800,Tamano810,Tamano820,Tamano830,Tamano840,Tamano850,Tamano860,Tamano870,Tamano880,Tamano890,Tamano900,Tamano910,Tamano920,Tamano930,Tamano940,Tamano950,Tamano960,Tamano970,Tamano980,Tamano990,Tamano1000
869,4200,9800,10600,12600,21900,29600,29800,38600,41500,74200,36300,27800,71900,60800,54900,61300,82500,67600,67100,73700,89400,79700,100400,86100,88300,120000,94700,148100,160500,185500,112200,174300,121400,130300,138500,218300,144500,146100,134100,144300,155900,152700,152800,155800,165300,167900,183600,299500,203300,183900,349600,231300,222900,211900,211800,205300,204700,205300,224900,224400,233400,239300,231200,250400,240800,247300,247500,252500,285900,296400,266000,291100,297900,276400,339100,306200,475500,475400,483600,496500,484700,522800,688700,721100,529100,360100,353100,343200,337300,334300,347500,382500,358900,358200,352500,392800,389400,400900,369500,361100
870,5800,6500,10500,13800,20400,29200,27600,36100,45500,71100,70700,41100,52500,88100,52300,91200,102400,103100,103300,114400,81800,92900,73300,80200,85700,110300,102200,109700,106500,114700,107000,113500,257600,280000,284600,141300,156900,171600,147800,153800,257800,174400,162400,168000,160600,237300,181200,223800,295000,280400,238400,274800,253500,202700,286100,336100,214800,217600,234700,225300,239600,224300,235200,235400,239900,266800,251900,252100,309500,271000,276800,297800,317400,303500,282200,301900,287800,326500,331800,498500,515500,508600,496600,457800,435100,530100,529800,532000,624300,460900,411100,385500,422800,451200,307800,385800,381900,384800,376900,373800
871,3400,6000,8300,11900,19600,17400,20700,73700,81500,58600,40900,42600,51600,60000,64900,59300,67100,67200,67200,73300,94100,104500,94000,85900,89200,120400,92000,102300,105000,123100,104400,111100,117400,126600,115600,133800,165800,136500,139500,160600,157000,155000,163300,159200,159600,175100,177100,177500,180200,149700,230300,223400,229700,234100,236600,248000,240900,228500,218500,243900,246900,166800,239800,265800,405400,404600,385100,387400,436700,362200,264000,282000,319800,298500,324600,332800,354900,304300,306400,312800,515700,491000,397400,317300,320900,421000,529300,526000,543900,440600,278000,381300,370200,372500,380900,378200,367700,406300,453400,390500
872,5300,12400,13600,14500,19500,18100,24900,37800,39800,55500,55900,38600,84300,90500,51300,71200,59600,68700,60800,71800,91600,73700,88600,81900,96300,129800,110300,111500,106800,126500,123200,107000,114300,125000,132700,157900,156900,173000,139700,161400,155900,170100,169700,189900,200700,182500,180000,191300,207200,189300,219400,452400,391000,403100,383100,378700,426300,353600,349400,359900,377200,379200,228900,260600,242300,280300,263100,290800,310400,267200,275200,280000,266500,306200,284700,303900,300000,333600,298100,321900,330300,330200,279100,306000,328500,342100,344300,333600,525200,550000,542600,570600,553100,686400,816700,688400,839600,864000,591900,510800
873,4600,6200,10400,15900,16800,18800,26400,38800,37100,55900,40300,42300,50300,65900,47000,65800,73700,83100,88000,67500,83700,74800,73800,91400,86800,104900,90800,118300,131500,110900,125900,116900,151300,141600,131300,171900,131100,147200,154200,149000,150300,160800,151900,171800,161600,170000,179900,183200,184600,189400,215200,222100,222100,213500,226400,273000,233900,210800,232300,229900,227100,556500,543800,241800,248700,587200,556500,254200,269200,276400,291500,269600,304300,289100,285800,287600,285700,297300,283600,319800,318900,306500,310400,315700,319000,325900,323000,299400,345500,378900,301900,366300,365200,450000,395900,577000,519400,516200,395000,368200
874,4100,6200,8500,15100,15800,38000,69300,40900,34000,41000,62000,61800,61700,62800,83700,77400,67600,95000,102800,93600,79100,82600,144000,88500,86700,108400,90900,112000,107500,114100,105000,166400,110800,135600,122100,137700,152300,173100,139400,151500,165000,155600,175100,180900,169700,176800,160400,167600,195100,193700,216400,223200,215700,286300,265200,207900,371200,336800,349200,391100,250500,216000,243200,390800,241700,401300,257300,266100,445500,334800,303500,265300,196100,396800,291900,293200,295200,454300,298400,273600,320400,308300,305600,308300,321200,329100,325300,321900,343400,354700,539200,558700,509000,557300,487700,587000,624000,601600,605500,600200
875,5000,9400,14500,36400,25600,45300,50200,32100,60300,64600,37200,34500,74600,64900,60300,71500,67600,73100,71600,85000,87200,62900,132400,91200,114600,128000,93400,120100,107000,117300,106400,126300,111300,124900,121300,137100,152400,144400,136000,142300,168200,153000,169300,207800,187100,202300,193100,235400,252700,221300,265500,257100,258000,214500,230500,229600,245300,278100,180100,249700,242800,261000,270400,263800,232200,267900,262400,266800,287100,293600,273900,299800,348800,314600,318500,316400,288800,346200,357100,301100,336300,511400,480900,475600,460000,349600,322700,335300,359400,346300,380300,284300,567000,572700,306300,400800,424000,574300,441700,408200
876,3900,8200,9500,15300,16300,21500,23100,36800,39400,41000,60800,43500,38600,53200,61700,57100,80200,87800,67500,86300,83700,102100,97300,89800,103600,112000,91000,114600,122000,125400,107300,128200,135000,126000,127000,138600,133000,149000,122400,144500,165000,174800,166200,162900,161200,182000,170700,181600,188100,172900,257000,225100,210000,219800,231400,204300,226800,213400,219500,270400,275600,262700,246300,252200,260300,270200,236800,263000,266300,265600,264200,263600,286600,281300,306800,313900,297000,307100,480200,453600,485700,428800,363300,470300,320200,431800,523000,539300,523500,549400,551500,682200,775400,384100,358700,373500,381300,372700,496000,472600
877,4100,6800,15900,11600,18200,26500,22500,31500,37000,51200,31000,46600,52900,53100,53300,69800,58600,69000,64900,75700,79000,71600,78400,75400,79500,124500,99600,146200,131400,114900,111100,116400,103600,125800,127500,132400,135100,208200,132600,144200,165600,150000,159100,170800,163100,163400,180100,175000,136300,202700,229600,242800,235900,259300,222400,236300,229400,228600,221000,236400,230700,208200,245900,244000,232300,247500,244700,259200,266100,267000,291300,322400,433500,300900,276800,358400,287900,324400,359200,355500,328500,335500,339000,312200,332200,344200,339200,559700,514600,492800,396400,355000,383000,363600,360300,360000,385600,381600,358200,368800
878,4900,6900,17600,17000,15900,14800,20000,32200,46400,42500,41700,62000,80300,96300,67400,56500,73000,74000,64300,76700,100100,86000,89600,100500,98800,107900,102600,105900,115600,131000,111800,115300,106400,123100,137500,133600,145600,161200,163600,139600,208100,174300,202400,192100,169200,185900,196300,304500,189600,215600,226200,215200,225100,204700,199600,216300,215600,223200,216100,241000,235400,282300,263900,250300,340200,269100,258900,269800,289000,275700,320400,458600,439100,442800,423000,309500,299600,297600,302900,309500,402800,727300,342100,311200,335600,348900,514500,511900,544700,541400,575200,578300,569200,624200,373400,388300,375400,413200,372500,375900
